"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Sep 23 08:39:43 GMT 2025","Tue Sep 23 08:39:43 GMT 2025","0","Suite","Test","Home.Resetpassword","Home.Resetpassword","testResetPasswordWithInvalidToken","testResetPasswordWithInvalidToken",""
"broken","Tue Sep 23 09:17:40 GMT 2025","Tue Sep 23 09:17:40 GMT 2025","0","Suite","Test","PoliceOfficer.validnumber","PoliceOfficer.validnumber","setup","setup",""
"passed","Tue Sep 23 09:13:37 GMT 2025","Tue Sep 23 09:13:48 GMT 2025","10691","Suite","Test","GSMBOfficer.RequestMiningFilter","GSMBOfficer.RequestMiningFilter","testFilterReset","testFilterReset",""
"passed","Tue Sep 23 09:21:04 GMT 2025","Tue Sep 23 09:21:07 GMT 2025","3153","Suite","Test","GeneralPublic.InvalidNumber","GeneralPublic.InvalidNumber","navigateToPublicPageTest","navigateToPublicPageTest",""
"passed","Tue Sep 23 08:50:23 GMT 2025","Tue Sep 23 08:50:40 GMT 2025","16653","Suite","Test","MLOwner.DispatchLoadPageTest","MLOwner.DispatchLoadPageTest","fillDispatchFormFields","fillDispatchFormFields",""
"passed","Tue Sep 23 09:29:56 GMT 2025","Tue Sep 23 09:30:07 GMT 2025","11567","Suite","Test","GSMBManagement.GSMBManagementDashboard","GSMBManagement.GSMBManagementDashboard","verifyMiningLicenseChart","verifyMiningLicenseChart",""
"passed","Tue Sep 23 08:56:45 GMT 2025","Tue Sep 23 08:56:54 GMT 2025","8627","Suite","Test","GSMBOfficer.MiningLicenseTestSuite","GSMBOfficer.MiningLicenseTestSuite","testFileUploadFunctionality","testFileUploadFunctionality",""
"passed","Tue Sep 23 09:19:41 GMT 2025","Tue Sep 23 09:20:19 GMT 2025","37417","Suite","Test","PoliceOfficer.invalidnumber","PoliceOfficer.invalidnumber","testCompleteInvalidLicenseFlow","testCompleteInvalidLicenseFlow",""
"passed","Tue Sep 23 08:40:16 GMT 2025","Tue Sep 23 08:40:21 GMT 2025","5136","Suite","Test","MLOwner.mlownersingin","MLOwner.mlownersingin","mlsignin","mlsignin",""
"broken","Tue Sep 23 09:24:35 GMT 2025","Tue Sep 23 09:25:15 GMT 2025","40302","Suite","Test","MiningEngineer.HoldModalScheduled","MiningEngineer.HoldModalScheduled","testHoldModalFieldPresence","testHoldModalFieldPresence",""
"passed","Tue Sep 23 09:21:37 GMT 2025","Tue Sep 23 09:21:37 GMT 2025","622","Suite","Test","MiningEngineer.AppointmentsSetDateTest","MiningEngineer.AppointmentsSetDateTest","testPastDateDisabled","testPastDateDisabled",""
"passed","Tue Sep 23 08:57:19 GMT 2025","Tue Sep 23 08:57:29 GMT 2025","9713","Suite","Test","GSMBOfficer.MiningLicenseTestSuite","GSMBOfficer.MiningLicenseTestSuite","testInvalidDataValidation","testInvalidDataValidation",""
"passed","Tue Sep 23 08:52:17 GMT 2025","Tue Sep 23 08:52:25 GMT 2025","7178","Suite","Test","MLOwner.RoyaltyPayementTest","MLOwner.RoyaltyPayementTest","openRoyaltyModal","openRoyaltyModal",""
"passed","Tue Sep 23 08:58:21 GMT 2025","Tue Sep 23 08:58:33 GMT 2025","12358","Suite","Test","GSMBOfficer.RequestMining","GSMBOfficer.RequestMining","testDatePickerFunctionality","testDatePickerFunctionality",""
