"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21085","testAddMLOwnerLicense","Default Suite","Thu Mar 06 13:53:38 IST 2025","passed","Thu Mar 06 13:53:59 IST 2025","GSMBOfficer.AddMiningLicense","mmProAutomation","GSMBOfficer.AddMiningLicense","testAddMLOwnerLicense"
"","4786","testTamilVersion","Default Suite","Thu Mar 06 13:05:04 IST 2025","passed","Thu Mar 06 13:05:08 IST 2025","MLOwner.mlownersingin","mmProAutomation","MLOwner.mlownersingin","testTamilVersion"
"","33974","testInvalidLicenseWithReport","Default Suite","Thu Mar 06 13:02:45 IST 2025","passed","Thu Mar 06 13:03:19 IST 2025","GeneralPublic.InvalidNumber","mmProAutomation","GeneralPublic.InvalidNumber","testInvalidLicenseWithReport"
"","4162","testContactSection","Default Suite","Wed Feb 26 09:11:14 IST 2025","passed","Wed Feb 26 09:11:19 IST 2025","Home.homepage","mmProAutomation","Home.homepage","testContactSection"
"","29892","enterInvalidLicense","Default Suite","Fri Feb 07 12:46:46 IST 2025","broken","Fri Feb 07 12:47:16 IST 2025","PoliceOfficer.invalidnumber","mmProAutomation","PoliceOfficer.invalidnumber","enterInvalidLicense"
"","2208","testTamilVersion","Default Suite","Wed Feb 26 09:11:28 IST 2025","passed","Wed Feb 26 09:11:30 IST 2025","Home.homepage","mmProAutomation","Home.homepage","testTamilVersion"
"","3787","openHomePage","Default Suite","Wed Feb 26 09:11:06 IST 2025","passed","Wed Feb 26 09:11:10 IST 2025","Home.homepage","mmProAutomation","Home.homepage","openHomePage"
"","2266","testSinhalaVersion","Default Suite","Wed Feb 26 09:11:26 IST 2025","passed","Wed Feb 26 09:11:28 IST 2025","Home.homepage","mmProAutomation","Home.homepage","testSinhalaVersion"
"","36335","testValidLicensePlate","Default Suite","Thu Mar 06 11:58:08 IST 2025","passed","Thu Mar 06 11:58:44 IST 2025","GeneralPublic.ValidNumber","mmProAutomation","GeneralPublic.ValidNumber","testValidLicensePlate"
"","8926","testValidLicensePlate","Default Suite","Tue Feb 25 14:14:13 IST 2025","passed","Tue Feb 25 14:14:22 IST 2025","PoliceOfficer.validnumber","mmProAutomation","PoliceOfficer.validnumber","testValidLicensePlate"
"","23966","openWebsite","Default Suite","Thu Mar 06 13:05:37 IST 2025","passed","Thu Mar 06 13:06:01 IST 2025","MLOwner.mlownerhome","mmProAutomation","MLOwner.mlownerhome","openWebsite"
"","25603","testFullFlow","Default Suite","Wed Mar 05 21:47:25 IST 2025","broken","Wed Mar 05 21:47:51 IST 2025","GeneralPublic.InvalidNumber","mmProAutomation","GeneralPublic.InvalidNumber","testFullFlow"
"","30037","gsmbSignin","Default Suite","Tue Feb 25 20:45:29 IST 2025","passed","Tue Feb 25 20:45:59 IST 2025","GSMBOfficer.GsmbOfficerSignin","mmProAutomation","GSMBOfficer.GsmbOfficerSignin","gsmbSignin"
"","2001","performLogin","Default Suite","Fri Feb 07 12:09:39 IST 2025","passed","Fri Feb 07 12:09:41 IST 2025","PoliceOfficer.policeofficersignin","mmProAutomation","PoliceOfficer.policeofficersignin","performLogin"
"","25839","gsmbSignin","Default Suite","Thu Mar 06 13:52:06 IST 2025","passed","Thu Mar 06 13:52:32 IST 2025","GSMBOfficer.GSMBmlTab","mmProAutomation","GSMBOfficer.GSMBmlTab","gsmbSignin"
"","11544","policeSignIn","Default Suite","Wed Feb 19 12:57:41 IST 2025","passed","Wed Feb 19 12:57:53 IST 2025","PoliceOfficer.policeofficersignin","mmProAutomation","PoliceOfficer.policeofficersignin","policeSignIn"
"","3590","testNavigationFlow","Default Suite","Fri Feb 07 12:19:40 IST 2025","passed","Fri Feb 07 12:19:44 IST 2025","PoliceOfficer.policeofficersignin","mmProAutomation","PoliceOfficer.policeofficersignin","testNavigationFlow"
"","26370","testDispatchLoadPage","Default Suite","Thu Mar 06 13:06:13 IST 2025","passed","Thu Mar 06 13:06:39 IST 2025","MLOwner.DispatchloadTesting","mmProAutomation","MLOwner.DispatchloadTesting","testDispatchLoadPage"
"This test verifies if a valid license plate number allows navigation to the correct page","4638","testValidLicensePlate","Default Suite","Fri Feb 07 11:47:10 IST 2025","failed","Fri Feb 07 11:47:15 IST 2025","PoliceOfficer.policeofficersignin","mmProAutomation","PoliceOfficer.policeofficersignin","testValidLicensePlate"
"","18313","publicsignin","Default Suite","Tue Feb 25 08:52:52 IST 2025","passed","Tue Feb 25 08:53:10 IST 2025","GeneralPublic.GeneralPublicSignin","mmProAutomation","GeneralPublic.GeneralPublicSignin","publicsignin"
"","2711","testLoginButton","Default Suite","Wed Feb 26 09:11:19 IST 2025","passed","Wed Feb 26 09:11:21 IST 2025","Home.homepage","mmProAutomation","Home.homepage","testLoginButton"
"","1","setUp","Default Suite","Fri Feb 07 17:44:09 IST 2025","broken","Fri Feb 07 17:44:09 IST 2025","MLOwner.DispatchloadTesting","mmProAutomation","MLOwner.DispatchloadTesting","setUp"
"","30337","testInvalidLicenseWithReport","Default Suite","Thu Mar 06 15:21:50 IST 2025","passed","Thu Mar 06 15:22:21 IST 2025","PoliceOfficer.invalidnumber","mmProAutomation","PoliceOfficer.invalidnumber","testInvalidLicenseWithReport"
"","3647","testNavigationFlow","Default Suite","Tue Feb 04 20:23:04 IST 2025","passed","Tue Feb 04 20:23:07 IST 2025","PoliceOfficer.policeofficersingin","mmProAutomation","PoliceOfficer.policeofficersingin","testNavigationFlow"
"","31865","testGeneralPublicFeatures","Default Suite","Tue Feb 25 14:00:19 IST 2025","broken","Tue Feb 25 14:00:51 IST 2025","GeneralPublic.InvalidNumber","mmProAutomation","GeneralPublic.InvalidNumber","testGeneralPublicFeatures"
"","4359","testSinhalaVersion","Default Suite","Thu Mar 06 13:05:08 IST 2025","passed","Thu Mar 06 13:05:13 IST 2025","MLOwner.mlownersingin","mmProAutomation","MLOwner.mlownersingin","testSinhalaVersion"
"","22591","publicsignin","Default Suite","Wed Mar 05 20:54:55 IST 2025","passed","Wed Mar 05 20:55:17 IST 2025","GeneralPublic.GeneralPublicDashboard","mmProAutomation","GeneralPublic.GeneralPublicDashboard","publicsignin"
"","8533","testValidLicensePlate","Default Suite","Tue Feb 25 14:51:00 IST 2025","passed","Tue Feb 25 14:51:08 IST 2025","PoliceOfficer.invalidnumber","mmProAutomation","PoliceOfficer.invalidnumber","testValidLicensePlate"
"","23887","testInvalidLicenseNumber","Default Suite","Fri Feb 07 12:57:34 IST 2025","broken","Fri Feb 07 12:57:58 IST 2025","PoliceOfficer.invalidnumber","mmProAutomation","PoliceOfficer.invalidnumber","testInvalidLicenseNumber"
"","18389","gsmbSignin","Default Suite","Wed Feb 19 13:12:22 IST 2025","passed","Wed Feb 19 13:12:41 IST 2025","GeneralPublic.GeneralPublicSignin","mmProAutomation","GeneralPublic.GeneralPublicSignin","gsmbSignin"
"","11685","mlsignin","Default Suite","Wed Feb 19 12:39:36 IST 2025","passed","Wed Feb 19 12:39:47 IST 2025","GeneralPublic.GeneralPublicSignin","mmProAutomation","GeneralPublic.GeneralPublicSignin","mlsignin"
"","29329","testInvalidLicensePlate","Default Suite","Tue Feb 25 13:19:13 IST 2025","failed","Tue Feb 25 13:19:43 IST 2025","GeneralPublic.ValidNumber","mmProAutomation","GeneralPublic.ValidNumber","testInvalidLicensePlate"
"","31592","testPoliceOfficerFeatures","Default Suite","Tue Feb 25 14:24:05 IST 2025","broken","Tue Feb 25 14:24:37 IST 2025","PoliceOfficer.invalidnumber","mmProAutomation","PoliceOfficer.invalidnumber","testPoliceOfficerFeatures"
"","7662","testAddLicenseOwner","Default Suite","Thu Mar 06 15:12:35 IST 2025","passed","Thu Mar 06 15:12:43 IST 2025","GSMBOfficer.AddLicenseOwner","mmProAutomation","GSMBOfficer.AddLicenseOwner","testAddLicenseOwner"
"","106208","testAddMiningLicense","Default Suite","Wed Mar 05 01:49:12 IST 2025","broken","Wed Mar 05 01:50:58 IST 2025","GSMBOfficer.AddMiningLicense","mmProAutomation","GSMBOfficer.AddMiningLicense","testAddMiningLicense"
"","25551","testPhoneVerificationAfterReport","Default Suite","Tue Feb 25 20:14:27 IST 2025","failed","Tue Feb 25 20:14:53 IST 2025","GeneralPublic.InvalidNumber","mmProAutomation","GeneralPublic.InvalidNumber","testPhoneVerificationAfterReport"
"","4226","testServiceSection","Default Suite","Wed Feb 26 09:11:21 IST 2025","passed","Wed Feb 26 09:11:26 IST 2025","Home.homepage","mmProAutomation","Home.homepage","testServiceSection"
"","4193","testAboutSection","Default Suite","Wed Feb 26 09:11:10 IST 2025","passed","Wed Feb 26 09:11:14 IST 2025","Home.homepage","mmProAutomation","Home.homepage","testAboutSection"
"","11779","mlsignin","Default Suite","Thu Mar 06 13:04:51 IST 2025","passed","Thu Mar 06 13:05:03 IST 2025","MLOwner.mlownersingin","mmProAutomation","MLOwner.mlownersingin","mlsignin"
