"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 15 08:21:07 UTC 2025","Mon Sep 15 08:21:12 UTC 2025","5225","Suite","Test","GSMBOfficer.MiningLicenseTestSuite","GSMBOfficer.MiningLicenseTestSuite","testSuccessfulLogin","testSuccessfulLogin",""
"passed","Mon Sep 15 08:33:51 UTC 2025","Mon Sep 15 08:34:01 UTC 2025","9665","Suite","Test","GSMBOfficer.RequestMiningFilter","GSMBOfficer.RequestMiningFilter","testUnderReviewFilter","testUnderReviewFilter",""
"failed","Mon Sep 15 08:37:38 UTC 2025","Mon Sep 15 08:38:11 UTC 2025","32759","Suite","Test","PoliceOfficer.invalidnumber","PoliceOfficer.invalidnumber","enterInvalidLicenseNumber","enterInvalidLicenseNumber",""
"passed","Mon Sep 15 08:39:15 UTC 2025","Mon Sep 15 08:39:16 UTC 2025","499","Suite","Test","MiningEngineer.AppointmentsSetDateTest","MiningEngineer.AppointmentsSetDateTest","testDateSelection","testDateSelection",""
"passed","Mon Sep 15 08:08:24 UTC 2025","Mon Sep 15 08:08:29 UTC 2025","4924","Suite","Test","MLOwner.mlownersingin","MLOwner.mlownersingin","testBlankLoginFields","testBlankLoginFields",""
"skipped","Mon Sep 15 08:46:47 UTC 2025","Mon Sep 15 08:46:47 UTC 2025","0","Suite","Test","GSMBManagement.GSMBManagementDashboard","GSMBManagement.GSMBManagementDashboard","verifyMonthlySandCubesChart","verifyMonthlySandCubesChart",""
"passed","Mon Sep 15 08:37:33 UTC 2025","Mon Sep 15 08:37:38 UTC 2025","4766","Suite","Test","PoliceOfficer.invalidnumber","PoliceOfficer.invalidnumber","loginToPoliceDashboard","loginToPoliceDashboard",""
"passed","Mon Sep 15 08:31:30 UTC 2025","Mon Sep 15 08:31:45 UTC 2025","15516","Suite","Test","GSMBOfficer.PhysicalMeeting","GSMBOfficer.PhysicalMeeting","testApprovalValidationWithoutReceipt","testApprovalValidationWithoutReceipt",""
"skipped","Mon Sep 15 08:38:47 UTC 2025","Mon Sep 15 08:38:47 UTC 2025","0","Suite","Test","GeneralPublic.GeneralPublicDashboard","GeneralPublic.GeneralPublicDashboard","enterAndSubmitVehicleNumber","enterAndSubmitVehicleNumber",""
"skipped","Mon Sep 15 08:04:34 UTC 2025","Mon Sep 15 08:04:34 UTC 2025","0","Suite","Test","Home.homepage","Home.homepage","testServiceSection","testServiceSection",""
"skipped","Mon Sep 15 08:46:47 UTC 2025","Mon Sep 15 08:46:47 UTC 2025","0","Suite","Test","GSMBManagement.GSMBManagementDashboard","GSMBManagement.GSMBManagementDashboard","verifyMapComponent","verifyMapComponent",""
"broken","Mon Sep 15 08:36:10 UTC 2025","Mon Sep 15 08:36:51 UTC 2025","41249","Suite","Test","GSMBOfficer.ValidateLicense","GSMBOfficer.ValidateLicense","testCloseValidationModal","testCloseValidationModal",""
"skipped","Mon Sep 15 08:46:47 UTC 2025","Mon Sep 15 08:46:47 UTC 2025","0","Suite","Test","GSMBManagement.GSMBManagementDashboard","GSMBManagement.GSMBManagementDashboard","verifyKPICards","verifyKPICards",""
"passed","Mon Sep 15 08:33:39 UTC 2025","Mon Sep 15 08:33:49 UTC 2025","9899","Suite","Test","GSMBOfficer.RequestMiningFilter","GSMBOfficer.RequestMiningFilter","testRejectedFilter","testRejectedFilter",""
"passed","Mon Sep 15 08:22:28 UTC 2025","Mon Sep 15 08:22:38 UTC 2025","9523","Suite","Test","GSMBOfficer.MiningLicenseTestSuite","GSMBOfficer.MiningLicenseTestSuite","testEmptyFormSubmission","testEmptyFormSubmission",""
"passed","Mon Sep 15 08:34:03 UTC 2025","Mon Sep 15 08:34:11 UTC 2025","7712","Suite","Test","GSMBOfficer.RequestMiningFilter","GSMBOfficer.RequestMiningFilter","testFilterDropdownVisibility","testFilterDropdownVisibility",""
"skipped","Mon Sep 15 08:38:11 UTC 2025","Mon Sep 15 08:38:11 UTC 2025","0","Suite","Test","PoliceOfficer.invalidnumber","PoliceOfficer.invalidnumber","clickCheckButtonAndCapture","clickCheckButtonAndCapture",""
"broken","Mon Sep 15 08:12:26 UTC 2025","Mon Sep 15 08:12:59 UTC 2025","32733","Suite","Test","MLOwner.DispatchHistoryTest","MLOwner.DispatchHistoryTest","verifyDispatchHistoryTitleVisible","verifyDispatchHistoryTitleVisible",""
"skipped","Mon Sep 15 08:04:46 UTC 2025","Mon Sep 15 08:04:46 UTC 2025","0","Suite","Test","Home.Resetpassword","Home.Resetpassword","testRequestPasswordResetWithUnregisteredEmail","testRequestPasswordResetWithUnregisteredEmail",""
"passed","Mon Sep 15 08:29:44 UTC 2025","Mon Sep 15 08:29:49 UTC 2025","4793","Suite","Test","GSMBOfficer.PhysicalMeeting","GSMBOfficer.PhysicalMeeting","testSuccessfulLogin","testSuccessfulLogin",""
"skipped","Mon Sep 15 08:48:38 UTC 2025","Mon Sep 15 08:48:38 UTC 2025","0","Suite","Test","GSMBManagement.ActivationPageTest","GSMBManagement.ActivationPageTest","verifyTabsAndActivateAll","verifyTabsAndActivateAll",""
"skipped","Mon Sep 15 08:12:15 UTC 2025","Mon Sep 15 08:12:15 UTC 2025","1","Suite","Test","MLOwner.LicensesPageTest","MLOwner.LicensesPageTest","testSearchWithInvalidInput","testSearchWithInvalidInput",""
"passed","Mon Sep 15 08:08:30 UTC 2025","Mon Sep 15 08:08:35 UTC 2025","5372","Suite","Test","MLOwner.MLRequestFormTest","MLOwner.MLRequestFormTest","loginToDashboard","loginToDashboard",""
"skipped","Mon Sep 15 08:04:35 UTC 2025","Mon Sep 15 08:04:35 UTC 2025","0","Suite","Test","Home.Register","Home.Register","testRegisterPasswordMismatch","testRegisterPasswordMismatch",""
"broken","Mon Sep 15 08:46:47 UTC 2025","Mon Sep 15 08:47:24 UTC 2025","36767","Suite","Test","GSMBManagement.GSMBManagementDashboard","GSMBManagement.GSMBManagementDashboard","clickActivation","clickActivation",""
"skipped","Mon Sep 15 08:04:34 UTC 2025","Mon Sep 15 08:04:34 UTC 2025","1","Suite","Test","Home.homepage","Home.homepage","testAboutSection","testAboutSection",""
